Date,High,Low,Open,Close,Volume,Adj Close,date,tweet_count,daily_sent,justinsuntron,charliebilello,binance,coinmarketcap,investingcom,huobiglobal,vitalikbuterin,grayscale,scottmelker,bosslogic,MA_10,ADX_2_7,RSI_10,MACD_5_10,MACDsign_5_10,MACDdiff_5_10,Mass Index,vix,gvz
2015-08-06,3.5366098880767822,2.521120071411133,2.83161997795105,2.7721199989318848,164329.0,2.7721199989318848,2015-08-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.770000457763672,17.25
2015-08-07,2.7988100051879883,0.7147250175476074,2.793760061264038,0.7533249855041504,674188.0,0.7533249855041504,2015-08-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.390000343322754,16.59000015258789
2015-08-10,1.131410002708435,0.6632350087165833,0.7080870270729065,1.0678600072860718,1463100.0,1.0678600072860718,2015-08-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.229999542236328,16.40999984741211
2015-08-11,1.2899399995803833,0.8836079835891724,1.058750033378601,1.2174400091171265,2150620.0,1.2174400091171265,2015-08-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.710000038146973,16.530000686645508
2015-08-12,1.965070009231568,1.1719900369644165,1.222239971160889,1.827669978141785,4068680.0,1.827669978141785,2015-08-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.609999656677246,16.799999237060547
2015-08-13,2.2618799209594727,1.7547500133514404,1.810920000076294,1.8278700113296509,4637030.0,1.8278700113296509,2015-08-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.657122265819418,0.0,0.0,0.0,0.0,0.0,13.489999771118164,15.84000015258789
2015-08-14,1.8772399425506592,1.5709799528121948,1.802889943122864,1.6888999938964844,2554360.0,1.6888999938964844,2015-08-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6957490856251933,0.0,0.0,0.0,0.0,0.0,12.829999923706055,15.59000015258789
2015-08-17,1.3311599493026731,1.087049961090088,1.2152999639511108,1.087049961090088,1485680.0,1.087049961090088,2015-08-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.289677494764328,0.8116794582304537,0.403694890824906,-0.0374905565213268,0.0,0.0,0.0,13.020000457763672,15.399999618530273
2015-08-18,1.317989945411682,1.1669299602508545,1.1669299602508545,1.2588599920272827,1486240.0,1.2588599920272827,2015-08-18,1.0,0.7835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3453737914562225,0.8213637010384202,0.403694890824906,-0.0394820492043126,0.0,0.0,0.0,13.789999961853027,15.84000015258789
2015-08-19,1.5333000421524048,1.248329997062683,1.2511800527572632,1.4649200439453125,2843760.0,1.4649200439453125,2015-08-19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4210209965705871,0.8373284424516068,0.521632176762306,-0.0091041872026775,0.0,0.0,0.0,15.25,15.960000038146973
2015-08-20,1.5564199686050415,1.3528000116348269,1.477519989013672,1.3952900171279907,2020970.0,1.3952900171279907,2015-08-20,4.0,0.16975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4537639975547791,0.8474297954337462,0.5337350258793242,-0.0019783327631117,0.0,0.0,0.0,19.139999389648438,16.8700008392334
2015-08-21,1.4764100313186646,1.352679967880249,1.396289944648743,1.37923002243042,948310.0,1.37923002243042,2015-08-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4699429988861084,0.8051307321546484,0.5336493447982179,-0.0002981673099884,0.0,0.0,0.0,28.030000686645508,18.479999542236328
2015-08-24,1.241819977760315,1.1286499500274658,1.2286100387573242,1.1401900053024292,1307180.0,1.1401900053024292,2015-08-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3079039931297305,0.9020453909593364,0.362251560279498,-0.0449981058958737,-0.0166030124801578,-0.0283950934157158,0.0,40.7400016784668,21.260000228881836
2015-08-25,1.2024799585342407,1.0618300437927246,1.132789969444275,1.159980058670044,1056750.0,1.159980058670044,2015-08-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2672989964485168,0.924864724872792,0.3190640309152092,-0.0516276236891977,-0.0242661972843062,-0.0273614264048914,0.0,36.02000045776367,20.200000762939453
2015-08-26,1.188830018043518,1.1372900009155271,1.1698100566864014,1.147699952125549,686662.0,1.147699952125549,2015-08-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2617079973220826,0.7468632231219687,0.3190640309152092,-0.0539400064450661,-0.0306388870205325,-0.0233011194245335,0.0,30.31999969482422,20.030000686645508
2015-08-27,1.2077900171279907,1.1204999685287476,1.1476600170135498,1.1913800239562988,721872.0,1.1913800239562988,2015-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2721410036087035,0.6136096457948575,0.3518189999639911,-0.045407804196613,-0.0337645030120822,-0.0116433011845308,0.0,26.100000381469727,18.739999771118164
2015-08-28,1.2072099447250366,1.1494899988174438,1.1935299634933472,1.1825499534606934,375377.0,1.1825499534606934,2015-08-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2645099997520446,0.7062207103105028,0.351818999963991,-0.0393239114839598,-0.0349275354123612,-0.0043963760715986,0.0,26.049999237060547,18.799999237060547
2015-08-31,1.39274001121521,1.3366299867630005,1.3534799814224243,1.3516099452972412,778862.0,1.3516099452972412,2015-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.243477988243103,0.8161460962997068,0.6274370243779964,0.0177979555354663,-0.0142810244204126,0.032078979955879,0.0,28.43000030517578,19.34000015258789
2015-09-01,1.3549100160598757,1.2646199464797974,1.3515700101852417,1.2947900295257568,883769.0,1.2947900295257568,2015-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.237697994709015,0.8431946741320422,0.4877447123694879,0.0135848824024118,-0.0086056037664788,0.0221904861688907,0.0,31.399999618530273,19.649999618530273
2015-09-02,1.3099900484085083,1.2110300064086914,1.2951899766921997,1.264930009841919,702991.0,1.264930009841919,2015-09-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2410640001296998,0.8634744256178701,0.4056061200885995,0.0059589280921243,-0.0056501041565438,0.0116090322486682,0.0,26.09000015258789,18.649999618530273
2015-09-03,1.3025200366973877,1.2368099689483645,1.264930009841919,1.2744100093841553,474391.0,1.2744100093841553,2015-09-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2544860005378724,0.8091307294658655,0.4056061200885995,0.0028694986016144,-0.0039263096068535,0.006795808208468,0.0,25.610000610351562,18.56999969482422
2015-09-04,1.3423000574111938,1.2711900472640991,1.28056001663208,1.3388099670410156,448453.0,1.3388099670410156,2015-09-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2723689913749694,0.8266504629247927,0.4991371272036846,0.0107396331327866,-0.0009658153186928,0.0117054484514795,0.0,27.799999237060547,18.6200008392334
2015-09-08,1.2604800462722778,1.201840043067932,1.2393499612808228,1.2065099477767944,366748.0,1.2065099477767944,2015-09-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2874209880828855,0.83770158813074,0.3632852494888057,-0.0154027992836736,-0.0040508959427293,-0.0113519033409442,0.0,24.899999618530273,18.309999465942383
2015-09-09,1.2215700149536133,1.1361500024795532,1.207610011100769,1.1657700538635254,662782.0,1.1657700538635254,2015-09-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2681739926338196,0.877863529479763,0.2602893245729989,-0.0250573436676819,-0.0082649215987701,-0.0167924220689118,0.0,26.229999542236328,17.799999237060547
2015-09-10,1.16907000541687,0.9406750202178956,1.16497004032135,0.9829779863357544,1942600.0,0.9829779863357544,2015-09-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2313107967376709,0.9079839926175822,0.1281499051338483,-0.0564763422900695,-0.0179305758550177,-0.0385457664350518,0.0,24.3700008392334,16.889999389648438
