,Unnamed: 0,Unnamed: 0.1,Open,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,NumberofTrade,TakerbuybaseV,TakerbuyquoteV,date,tweet_count,daily_sent,elonmusk,michael_saylor,binance,peterlbrandt,apompliano,cashapp,investingcom,coinmarketcap,raoulgmi,charliebilello,MA_7,MA_30,MA_100,ADX_2_4,RSI_14,MACD_3_14,MACDsign_3_14,MACDdiff_3_14,Mass Index
0,0,0,4261.48,4485.39,4200.74,4285.08,795.150377,1503014399999,3454770.05073206,3427,616.248541,2678216.40060401,2017-08-17,5.0,0.09582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
1,1,1,4285.08,4371.52,3938.77,4108.37,1199.888264,1503100799999,5086958.30617151,5233,972.86871,4129123.31651808,2017-08-18,3.0,0.3245333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2,2,2,4108.37,4184.69,3850.0,4139.98,381.309763,1503187199999,1549483.73542151,2153,274.336042,1118001.87008735,2017-08-19,5.0,0.15314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
3,3,3,4120.98,4211.08,4032.62,4086.29,467.083022,1503273599999,1930364.39032646,2321,376.795947,1557401.3337373,2017-08-20,1.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
4,4,4,4069.13,4119.62,3911.79,4016.0,691.74306,1503359999999,2797231.71402728,3972,557.356107,2255662.55315837,2017-08-21,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.8600614617846398,,,,,
5,5,5,4016.0,4104.82,3400.0,4040.0,966.684858,1503446399999,3752505.77214051,6494,423.995181,1637188.36934226,2017-08-22,4.0,-0.115925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.5172264286997954,,,,,
6,6,6,4040.0,4265.8,4013.89,4114.01,1001.136565,1503532799999,4148686.46581968,8629,309.419092,1293567.09519463,2017-08-23,4.0,0.093525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4112.818571428571,,,0.4851089392527608,,,,,
7,7,7,4147.0,4371.68,4085.01,4316.01,787.418753,1503619199999,3296476.41316476,6247,206.820412,868379.0641312,2017-08-24,7.0,0.2155142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4117.237142857143,,,0.5879913433865143,,,,,
8,8,8,4316.01,4453.91,4247.48,4280.68,573.61274,1503705599999,2484637.34936327,6554,100.097974,434577.13574645,2017-08-25,,,,,,,,,,,,,4141.852857142857,,,0.36374836124832927,,,,,
9,9,9,4280.71,4367.0,4212.41,4337.44,228.108068,1503791999999,977865.7333321,2260,56.190141,241363.80050245,2017-08-26,,,,,,,,,,,,,4170.061428571428,,,0.438638956439035,,,,,
10,10,10,4332.51,4400.0,4285.54,4310.01,350.692585,1503878399999,1521580.06202557,3670,101.651358,442442.17937215,2017-08-27,1.0,0.4404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4202.021428571428,,,0.593582959934963,,,,,
11,11,11,4310.01,4399.82,4124.54,4386.69,603.841616,1503964799999,2591660.52579953,4349,142.787782,612364.20611134,2017-08-28,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4254.977142857143,,,0.6020345628690114,,,,,
12,12,12,4353.65,4625.85,4313.55,4587.48,603.545028,1504051199999,2682483.73582991,4159,143.442567,641982.02068658,2017-08-29,5.0,0.18426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4333.188571428572,,,0.6356384363041507,,,,,
13,13,13,4564.52,4647.51,4416.01,4555.14,808.468771,1504137599999,3683714.68666123,5551,196.062252,894620.23750883,2017-08-30,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4396.207142857143,,,0.7456911532553957,0.4918949332600724,172.62299657474887,,,
14,14,14,4555.14,4745.42,4555.14,4724.89,556.956802,1504223999999,2579878.72401184,4161,131.947325,614342.53390234,2017-08-31,2.0,0.22745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4454.618571428572,,,0.8386808657974519,0.5553309447338232,221.4841261578813,,,
15,15,15,4689.89,4885.55,4654.88,4834.91,560.666366,1504310399999,2665165.55924616,4000,118.660103,566254.43089734,2017-09-01,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4533.794285714286,,,0.7892202791826315,0.6313392753202801,265.0529825586764,,,
16,16,16,4796.16,4939.19,4286.87,4472.14,929.148595,1504396799999,4257723.944817,7475,379.199863,1738334.08541735,2017-09-02,4.0,-0.034975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4553.0371428571425,,,0.7595588150138503,0.4159115250947116,136.4017890866935,,,
17,17,17,4508.5,4714.76,4298.33,4509.08,691.216198,1504483199999,3121052.75230181,6022,258.934536,1169644.69159694,2017-09-03,2.0,0.29295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4581.475714285714,,,0.8411764183923827,0.4159115250947116,84.66675598752408,,,
18,18,18,4505.0,4527.49,3972.51,4100.11,1394.644614,1504569599999,5909947.49008974,9317,578.600851,2460362.61291664,2017-09-04,5.0,-0.08038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4540.535714285715,,,0.9010386647173042,0.2966114565940001,-89.62099332901289,,,
