date,tweet_count,daily_sent,elonmusk,michael_saylor,binance,investingcom,charliebilello,peterlbrandt,raoulgmi,coinmarketcap,apompliano,cashapp
2021-03-12,62,0.22877096774193545,2,0,0,0,0,0,0,8,0,0
2021-03-11,50,0.12868400000000002,0,0,0,0,0,0,0,2,0,0
2021-03-10,46,0.19897826086956516,0,0,0,2,0,0,0,2,0,0
2021-03-09,70,0.2199857142857142,0,0,0,2,0,0,0,6,0,0
2021-03-08,48,0.4025958333333333,0,2,0,2,0,0,2,0,2,0
2021-03-07,44,0.20352272727272724,0,0,2,2,0,4,0,4,0,0
2021-03-06,28,0.11549999999999998,0,0,0,0,0,0,0,4,0,0
2021-03-05,56,0.27205714285714283,0,0,0,0,2,0,0,0,0,0
2021-03-04,50,0.24319600000000005,0,0,0,0,0,2,0,4,0,0
2021-03-03,40,0.08831000000000003,0,0,0,6,0,2,0,6,0,0
2021-03-02,50,0.18833199999999997,0,0,0,6,0,0,0,4,0,0
2021-03-01,76,0.2616921052631579,0,0,0,0,0,0,0,10,0,0
2021-02-28,38,0.17157368421052632,0,0,0,6,2,0,0,2,0,0
2021-02-27,38,0.14953157894736843,0,0,0,0,0,0,0,4,2,0
2021-02-26,64,0.158440625,0,0,0,0,2,0,0,6,0,0
2021-02-25,120,0.2194750000000001,0,0,0,2,0,0,0,10,0,0
2021-02-24,110,0.15696727272727273,0,0,0,6,0,0,0,6,0,0
2021-02-23,112,0.13588571428571433,0,2,0,12,2,0,0,4,0,0
2021-02-22,92,0.2065608695652174,0,0,0,8,0,6,0,8,0,0
2021-02-21,56,0.10634285714285716,0,2,0,8,0,0,2,2,2,0
2021-02-20,62,0.3152612903225807,0,0,0,14,2,0,0,4,0,0
2021-02-19,112,0.25918035714285714,0,0,0,12,2,0,0,10,0,0
2021-02-18,72,0.22837499999999997,0,0,0,6,0,0,0,4,0,0
2021-02-17,122,0.18403114754098357,0,0,4,14,2,2,2,4,2,0
2021-02-16,142,0.23851971830985913,0,0,2,12,4,0,0,6,0,0
2021-02-15,60,0.007559999999999997,0,0,0,4,0,0,0,8,0,0
2021-02-14,46,0.19606521739130436,0,0,4,6,2,0,0,2,0,0
2021-02-13,60,0.18503,0,0,0,6,0,0,0,4,0,0
2021-02-12,66,0.3539484848484848,0,0,4,4,0,0,0,4,2,0
2021-02-11,70,0.28283142857142857,0,0,0,4,0,0,0,4,0,0
2021-02-10,76,0.25013947368421047,0,0,0,2,0,0,0,6,2,0
2021-02-09,148,0.17483513513513513,0,0,2,12,4,0,0,14,0,0
2021-02-08,242,0.13617438016528924,0,0,0,10,2,0,0,8,0,0
2021-02-07,28,-0.011735714285714275,0,0,0,0,0,0,0,2,0,0
2021-02-06,36,0.15510555555555558,0,0,0,6,0,0,0,2,0,0
2021-02-05,46,0.15943913043478264,0,0,0,0,2,0,0,2,0,0
2021-02-04,34,0.2982058823529412,0,2,0,0,0,0,0,0,0,0
2021-02-03,34,0.16234117647058824,0,0,0,0,2,0,0,4,0,0
2021-02-02,46,0.2553521739130435,0,0,0,0,0,0,0,6,0,0
2021-02-01,38,0.1998842105263158,0,0,0,0,0,2,0,0,0,0
2021-01-31,32,-0.06876874999999999,0,0,0,0,0,0,0,2,0,0
2021-01-30,48,0.06013333333333334,0,0,0,2,0,0,0,4,0,0
2021-01-29,112,0.20649285714285717,0,0,0,4,2,2,0,10,0,0
2021-01-28,60,0.17099999999999999,0,0,0,0,0,0,0,2,0,0
2021-01-27,46,0.028208695652173904,0,0,2,0,0,0,0,4,0,0
2021-01-26,44,0.2695090909090908,0,0,2,2,0,0,0,0,0,0
2021-01-25,72,0.15828333333333336,0,2,2,2,0,0,0,4,0,0
2021-01-24,26,0.24357692307692302,0,0,0,0,0,0,0,0,0,0
2021-01-23,32,0.14458749999999995,0,0,0,0,0,0,0,6,0,0
2021-01-22,68,0.1932970588235294,0,2,0,4,2,0,0,4,0,0
2021-01-21,48,0.06799999999999999,0,0,0,2,0,2,0,2,0,0
2021-01-20,52,0.25795,0,0,2,0,0,0,0,6,0,0
2021-01-19,42,0.08866666666666664,0,0,0,4,0,0,0,6,0,0
2021-01-18,38,0.30780000000000013,0,0,0,0,0,0,0,0,0,0
2021-01-17,28,0.1313142857142857,0,0,0,2,0,0,0,4,0,0
2021-01-16,40,0.28819999999999996,0,0,6,0,0,0,0,6,0,0
2021-01-15,60,0.21942999999999996,0,0,2,0,0,0,0,8,0,0
2021-01-14,90,0.19868444444444444,0,0,2,4,0,0,0,8,0,0
2021-01-13,76,0.18325000000000002,0,0,2,6,0,0,0,4,0,0
2021-01-12,70,0.36517142857142854,0,0,0,2,0,0,0,4,0,0
2021-01-11,118,0.08611186440677969,0,0,2,8,2,0,0,10,0,0
2021-01-10,56,0.1170892857142857,0,0,2,2,0,2,0,2,0,0
2021-01-09,50,0.163824,0,0,0,2,2,0,0,2,0,0
2021-01-08,104,0.08240576923076923,0,0,0,10,4,0,0,4,0,0
2021-01-07,148,0.1449364864864865,0,0,4,10,12,2,0,2,0,0
2021-01-06,66,0.09258787878787879,0,0,2,8,4,0,0,4,0,0
2021-01-05,54,0.26540740740740737,0,0,2,4,0,0,0,0,0,0
2021-01-04,96,0.12590624999999997,0,0,0,6,0,0,0,4,0,0
2021-01-03,57,0.0680175438596491,0,0,0,8,2,0,0,2,0,0
2021-01-02,134,0.11853582089552239,0,0,2,14,6,0,0,6,0,0
2021-01-01,30,0.16662666666666665,0,0,0,2,0,0,0,4,0,0
2020-12-31,34,0.05126470588235294,0,0,0,2,4,0,0,2,0,0
2020-12-30,62,-0.011067741935483879,0,0,6,6,2,0,2,4,0,0
2020-12-29,118,-0.0006762711864406689,0,0,0,2,0,0,0,4,0,0
2020-12-28,30,0.16944666666666663,0,2,2,0,0,0,0,0,0,0
2020-12-27,76,0.057807894736842065,0,0,2,8,2,2,0,4,0,0
2020-12-26,80,0.18307,0,0,0,8,6,0,0,2,0,0
2020-12-25,28,0.23945714285714287,0,0,2,2,0,0,0,2,4,0
2020-12-24,24,-0.08395000000000001,0,0,0,0,0,0,0,2,0,0
2020-12-23,40,0.11672000000000002,0,2,0,0,0,0,0,4,0,0
2020-12-22,40,0.37838,0,2,0,0,0,0,0,0,0,0
2020-12-21,52,0.27683461538461535,0,2,0,0,0,0,0,6,0,0
2020-12-20,36,0.10855555555555554,0,0,2,0,0,0,0,4,0,0
2020-12-19,42,0.19064285714285714,0,0,2,2,0,0,0,10,0,0
2020-12-18,92,0.3626108695652174,0,2,2,0,2,0,0,6,0,2
2020-12-17,84,0.14182619047619047,0,0,6,4,4,0,0,6,0,0
2020-12-16,132,0.2051575757575757,0,0,2,4,6,0,0,12,0,0
2020-12-15,22,0.2939090909090909,0,0,4,0,0,0,0,0,0,0
2020-12-14,28,0.3146071428571429,0,2,2,0,0,0,0,2,0,0
2020-12-13,14,0.5558,0,0,0,0,0,0,0,2,0,0
2020-12-12,12,0.5442666666666667,0,0,0,0,0,0,0,6,0,0
2020-12-11,36,0.4134055555555556,0,2,4,0,0,0,0,0,0,0
2020-12-10,42,0.33110952380952374,0,0,0,2,0,0,0,6,0,0
2020-12-09,34,0.3257764705882353,0,0,0,0,0,0,0,4,0,0
2020-12-08,24,0.182225,0,0,4,0,0,0,0,2,0,0
2020-12-07,30,0.21450666666666668,0,0,2,0,0,0,0,0,0,0
2020-12-06,14,0.5388714285714286,0,0,2,0,0,0,0,4,0,0
2020-12-05,6,0.4994,0,0,0,0,0,0,0,0,0,0
2020-12-04,40,0.2860249999999999,0,0,0,0,2,0,0,6,0,0
2020-12-03,18,0.23453333333333332,0,0,0,0,0,0,0,4,0,0
2020-12-02,26,0.6281923076923077,0,0,4,0,0,0,0,2,0,0
2020-12-01,72,0.19227499999999997,0,0,0,2,2,2,0,2,0,0
2020-11-30,96,0.26777083333333335,0,0,6,6,0,2,0,4,0,0
2020-11-29,28,0.16537142857142856,0,0,0,0,0,0,4,2,0,0
2020-11-28,16,0.29775,0,0,0,0,0,0,0,2,0,0
2020-11-27,38,0.16017894736842103,0,0,2,0,0,0,0,2,0,0
2020-11-26,64,0.17104375,0,0,2,6,0,0,0,0,0,0
2020-11-25,42,0.13064761904761907,0,0,2,0,2,0,0,6,0,0
2020-11-24,58,0.19901379310344824,0,0,4,4,0,0,0,2,0,0
2020-11-23,32,0.3844375,0,0,2,0,0,0,0,0,0,0
2020-11-22,12,0.26686666666666664,0,2,2,0,0,0,0,4,0,0
2020-11-21,28,0.2377714285714286,0,0,4,2,0,0,0,6,0,0
2020-11-20,34,0.3526470588235294,0,0,0,0,0,0,0,4,0,0
2020-11-19,42,0.285647619047619,0,2,2,0,4,0,0,4,0,0
2020-11-18,54,0.1455777777777778,0,2,2,4,0,0,0,0,0,0
2020-11-17,62,0.1118,0,0,6,2,2,0,2,2,2,0
2020-11-16,34,0.19999411764705885,0,0,2,0,0,2,0,0,0,0
2020-11-15,4,0.4477,0,0,0,0,0,0,0,0,0,0
2020-11-13,24,0.30840833333333334,0,0,0,2,0,0,0,2,0,0
2020-11-12,36,0.04820000000000001,0,0,0,0,0,0,0,2,0,0
2020-11-11,26,0.40609230769230764,0,2,2,0,0,0,0,6,0,0
2020-11-10,22,0.45299090909090906,0,4,0,0,0,0,0,0,0,0
2020-11-09,22,0.3523818181818182,0,2,0,0,0,0,0,2,0,0
2020-11-08,12,0.09179999999999999,0,0,0,0,0,0,0,2,0,0
2020-11-07,8,0.372575,0,0,0,0,0,0,0,0,0,0
2020-11-06,30,0.21454666666666666,0,0,0,0,0,0,0,2,0,0
2020-11-05,38,0.08672631578947367,0,0,2,0,0,2,0,4,2,0
2020-11-04,40,0.22094999999999992,0,0,0,2,0,0,0,6,0,0
2020-11-03,26,0.44719999999999993,0,2,0,0,0,0,0,0,0,0
2020-11-02,18,0.2799111111111111,0,2,2,0,0,0,0,0,0,0
2020-11-01,8,0.39512500000000006,0,0,0,0,0,2,0,0,0,0
2020-10-31,24,0.2294583333333333,0,0,0,0,0,0,0,0,0,0
2020-10-30,18,0.3678777777777778,0,0,0,0,0,0,0,0,0,0
2020-10-29,14,0.12332857142857138,0,0,0,0,0,0,0,2,0,0
