,date,tweet_count,daily_sent,binance,charliebilello,coinmarketcap,huobiglobal,vitalikbuterin,investingcom,justinsuntron,grayscale,bosslogic,scottmelker
2021-03-11,2021-03-11,2,0.0,0,0,0,0,0,0,0,0,0,0
2021-03-10,2021-03-10,6,-0.12613333333333335,0,0,1,0,0,0,0,1,0,0
2021-03-09,2021-03-09,18,0.19676666666666667,0,0,0,0,0,0,0,0,0,0
2021-03-08,2021-03-08,10,0.36852,0,0,0,1,0,0,0,0,0,0
2021-03-06,2021-03-06,10,0.09784000000000001,0,0,1,0,0,0,0,0,0,0
2021-03-05,2021-03-05,8,0.050575,1,0,0,0,0,0,0,0,0,0
2021-03-04,2021-03-04,8,0.029850000000000022,0,0,0,0,0,0,0,0,0,0
2021-03-03,2021-03-03,6,0.434,0,0,0,0,0,0,0,0,0,0
2021-03-02,2021-03-02,12,0.3868333333333333,0,0,0,0,0,0,0,1,0,0
2021-03-01,2021-03-01,4,-0.04780000000000001,0,0,0,0,0,0,0,0,0,1
2021-02-28,2021-02-28,14,-0.0255,1,0,0,0,0,1,0,0,0,0
2021-02-27,2021-02-27,8,0.5626,0,0,1,0,0,0,0,0,0,0
2021-02-26,2021-02-26,14,0.4563142857142858,0,1,1,0,0,0,0,1,0,0
2021-02-25,2021-02-25,12,0.1922,0,0,0,0,0,0,0,1,0,0
2021-02-24,2021-02-24,10,0.37824,0,0,0,0,0,0,0,0,0,0
2021-02-23,2021-02-23,22,-0.025363636363636363,1,0,0,1,0,0,0,0,0,0
2021-02-22,2021-02-22,18,0.20075555555555555,1,0,1,0,0,0,0,0,0,0
2021-02-21,2021-02-21,10,0.37306000000000006,0,0,0,0,0,1,0,0,0,0
2021-02-20,2021-02-20,28,0.1830642857142857,0,0,1,0,0,1,0,0,0,0
2021-02-19,2021-02-19,20,0.25554,1,0,0,0,0,1,0,1,0,0
2021-02-18,2021-02-18,26,0.19423846153846155,0,0,0,0,0,1,0,1,0,0
2021-02-17,2021-02-17,6,0.23026666666666665,0,0,0,0,0,0,0,0,0,0
2021-02-16,2021-02-16,6,0.5098333333333334,0,0,0,0,0,0,0,1,0,0
2021-02-15,2021-02-15,4,0.4144,0,0,0,0,0,0,0,1,0,0
2021-02-14,2021-02-14,4,0.13474999999999998,0,0,0,0,0,0,0,0,0,0
2021-02-13,2021-02-13,6,0.39253333333333335,0,0,0,0,0,0,0,0,0,0
2021-02-12,2021-02-12,14,0.3445571428571429,0,0,0,0,0,0,0,1,0,0
2021-02-11,2021-02-11,6,0.04883333333333334,0,0,0,0,0,0,0,0,0,0
2021-02-10,2021-02-10,22,0.35000000000000003,0,0,1,0,0,0,0,0,0,0
2021-02-09,2021-02-09,20,0.31686000000000003,0,0,1,0,0,1,0,0,0,0
2021-02-08,2021-02-08,8,0.135925,0,0,0,0,0,0,0,0,0,0
2021-02-07,2021-02-07,8,0.27244999999999997,0,0,1,0,0,0,0,0,0,0
2021-02-06,2021-02-06,2,0.6249,0,0,0,0,0,0,0,0,0,0
2021-02-05,2021-02-05,34,0.1452705882352941,0,1,1,0,0,1,0,0,0,0
2021-02-04,2021-02-04,6,0.27626666666666666,0,0,1,0,0,0,0,0,0,0
2021-02-03,2021-02-03,38,0.05225789473684209,0,1,1,0,0,0,0,0,0,0
2021-02-02,2021-02-02,24,0.10146666666666666,0,1,1,1,0,0,0,0,0,0
2021-02-01,2021-02-01,6,0.5269666666666667,0,0,0,0,0,0,0,0,0,0
2021-01-31,2021-01-31,4,-0.09065,0,0,1,0,0,0,0,0,0,1
2021-01-30,2021-01-30,4,0.6890499999999999,0,0,0,0,0,0,0,0,0,0
2021-01-29,2021-01-29,22,0.4202636363636364,0,1,0,0,0,0,0,1,0,0
