date,tweet_count,daily_sent,narendramodi,amitshah,eos,brendanblumer,ryangirdusky,sentedcruz,elienyc,binance,whcos,yamiche
2021-03-09,136,0.18111176470588228,0,0,1,0,0,0,0,0,0,0
2021-03-08,88,-0.04729999999999999,0,0,1,0,0,0,0,0,0,0
2021-03-07,8,0.1139,0,0,0,0,0,0,0,0,0,0
2021-03-06,8,0.0184,0,0,0,0,0,0,0,0,0,0
2021-03-05,96,0.08603333333333339,0,0,0,0,0,0,0,0,0,0
2021-03-04,32,0.14985,0,0,0,0,0,0,0,0,0,0
2021-03-03,32,0.22072500000000003,0,0,0,0,0,0,0,0,0,0
2021-03-02,40,0.12589999999999998,0,0,0,0,0,0,0,0,0,0
2021-03-01,48,0.018899999999999997,0,0,0,0,0,0,0,0,0,0
2021-02-28,32,0.300925,0,0,0,0,0,0,0,0,0,0
2021-02-27,56,0.32370000000000004,0,0,0,0,0,0,0,0,0,0
2021-02-26,104,0.060853846153846175,0,0,0,0,0,0,0,0,0,0
2021-02-25,72,0.12791111111111111,0,0,0,0,0,0,0,0,0,0
2021-02-24,72,-0.01785555555555555,0,0,0,0,0,0,0,0,0,0
2021-02-23,80,0.45187000000000016,0,0,0,1,0,0,0,0,0,0
2021-02-22,32,0.10817500000000001,0,0,0,0,0,0,0,0,0,0
2021-02-21,48,0.23963333333333334,0,0,0,0,0,0,0,0,0,0
2021-02-20,72,0.40696666666666653,0,0,1,1,0,0,0,0,0,0
2021-02-19,32,0.060449999999999976,0,0,0,0,0,0,0,0,0,0
2021-02-18,64,0.13916250000000008,0,0,0,0,0,0,0,0,0,0
2021-02-17,64,0.21105,0,0,0,0,0,0,0,0,0,1
2021-02-16,64,0.014450000000000005,0,0,0,0,0,0,0,0,0,0
2021-02-15,72,0.06315555555555556,0,0,0,0,0,0,0,0,0,0
2021-02-14,40,0.29934,0,0,0,0,0,0,0,0,0,0
2021-02-13,72,-0.032888888888888884,0,0,0,0,0,0,0,1,0,0
2021-02-12,96,0.10187500000000005,0,0,1,0,0,0,0,0,0,0
2021-02-11,96,0.16307500000000005,0,0,1,0,1,0,0,0,0,0
2021-02-10,72,0.11315555555555552,0,0,0,1,0,0,0,0,0,0
2021-02-09,112,0.30876428571428566,0,0,0,0,0,0,0,0,0,0
2021-02-08,104,0.0998923076923077,0,0,0,1,0,0,0,0,0,0
2021-02-07,80,0.2396100000000001,0,0,0,0,0,0,0,1,1,0
2021-02-06,56,0.19185714285714286,0,0,0,0,0,0,0,0,0,0
2021-02-05,128,0.14999375000000004,0,0,1,1,0,0,0,0,0,0
2021-02-04,72,0.23404444444444447,0,0,0,0,0,0,0,0,0,0
2021-02-03,144,0.17705000000000004,0,0,0,0,0,0,0,0,0,0
2021-02-02,208,0.06148461538461533,0,0,0,0,0,0,0,0,0,1
2021-02-01,104,0.09984615384615382,0,0,0,0,0,0,0,0,0,0
2021-01-31,128,-0.10501875000000005,0,0,0,0,0,0,0,0,0,0
2021-01-30,184,0.011817391304347833,0,0,0,0,0,0,1,0,0,0
2021-01-29,168,0.2426666666666668,0,0,0,1,0,0,0,0,0,0
2021-01-28,456,0.09731578947368408,0,0,0,1,0,0,1,1,0,0
2021-01-27,184,0.2529521739130434,0,0,0,0,0,0,0,0,0,0
2021-01-26,136,0.0998823529411765,0,0,0,0,0,0,0,0,0,1
2021-01-25,96,0.2772749999999999,0,0,0,0,0,0,0,1,0,0
2021-01-24,96,-0.03276666666666665,0,0,0,0,0,0,0,0,0,0
2021-01-23,136,-0.03508235294117646,0,0,0,1,1,0,0,0,0,0
2021-01-22,200,-0.0009880000000000078,0,0,0,1,0,0,1,0,0,0
2021-01-21,592,0.16153108108108089,0,0,1,0,1,1,0,0,0,0
2021-01-20,160,0.09851499999999992,0,0,0,0,0,0,0,1,0,0
2021-01-19,112,0.1536214285714285,0,0,0,0,0,0,0,0,0,0
2021-01-18,64,-0.025799999999999997,0,0,0,0,0,0,0,0,0,0
2021-01-17,24,0.13396666666666665,0,0,0,0,0,0,0,0,0,0
2021-01-16,16,0.31844999999999996,0,0,0,0,0,0,0,0,0,0
2021-01-15,72,0.35545555555555564,0,0,0,1,0,0,0,0,0,0
2021-01-14,56,-0.05674285714285714,0,0,0,0,0,0,0,0,0,0
