,Unnamed: 0,Unnamed: 0.1,Open,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,NumberofTrade,TakerbuybaseV,TakerbuyquoteV,date,tweet_count,daily_sent,narendramodi,amitshah,ryangirdusky,sentedcruz,brendanblumer,elienyc,binance,whcos,yamiche,rashtrapatibhvn,MA_7,MA_30,MA_100,ADX_2_4,RSI_14,MACD_3_14,MACDsign_3_14,MACDdiff_3_14,Mass Index
0,0,0,12.49,12.65,11.28,11.4788,3494258.32,1527551999999,41697515.299887,33754,1872584.78,22360745.531915,2018-05-28,9.0,0.2120666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,
1,1,1,11.4853,12.465,10.7,12.1112,6709192.34,1527638399999,78163973.766028,67086,3489407.08,40624840.885001,2018-05-29,30.0,0.2119933333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2,2,2,12.1113,12.82,11.6206,11.8968,6514864.18,1527724799999,78559433.806235,52521,3456858.76,41692086.361287,2018-05-30,22.0,0.2077636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
3,3,3,11.8712,12.74,11.8116,12.2353,6540020.8,1527811199999,80454508.713931,55055,3457530.35,42533291.802125,2018-05-31,31.0,0.1003774193548387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
4,4,4,12.2351,12.3889,11.8354,12.2048,5946136.88,1527897599999,72160734.196035,53090,3245736.46,39409225.610682,2018-06-01,25.0,0.154112,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.6169095882667054,,,,,
5,5,5,12.2143,15.6774,12.1039,14.6976,9812623.63,1527983999999,137660461.764177,133426,5079497.05,71122595.26837,2018-06-02,16.0,0.1537562499999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.7811888524696575,,,,,
6,6,6,14.6976,15.451,14.2266,14.5304,5800716.38,1528070399999,85527513.834105,81730,2731021.79,40279750.690823,2018-06-03,6.0,0.0742833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.736414285714286,,,0.6473462869574815,,,,,
7,7,7,14.5304,14.8424,13.23,13.462,4878116.53,1528156799999,67436603.013829,69831,2448176.03,33854880.617442,2018-06-04,20.0,0.4470249999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.01972857142857,,,0.689219064264006,,,,,
8,8,8,13.4619,14.3,12.71,14.1996,6430602.84,1528243199999,87989130.243631,86468,3347435.66,45892425.111823,2018-06-05,8.0,0.3963625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.318071428571429,,,0.7135797264488758,,,,,
9,9,9,14.1978,14.3,13.3677,13.9072,5958713.33,1528329599999,82746536.402525,69194,3133537.56,43562204.091178,2018-06-06,16.0,0.2211375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.605271428571427,,,0.6899380937389424,,,,,
